Date,Event,Distance,Entered?,Result,Position
16-Mar-2008,<a href='http://www.busacycling.biz/?section=news&action=show&id=69/'>BUSA 3up Team Time Trial</a>,50k,Yes,1:34:39,56/71
17-Apr-2008,<a href='http://www.swimathon.org/'>Swimathon</a>,5k,Yes,1:55:00,N/A
04-May-2008,<a href='http://www.bucs.org.uk/homepage.asp'>BUSA championships</a>,750m/25k/5k,Yes,1:22:52,116/235
24-May-2008,<a href='http://www.tourofwessex.com/'>Tour of Wessex</a>,475k,Yes,22:13:38,92/98
08-Jun-2008,<a href='http://www.conceptsport.co.uk/events.php?pid=1067'>Weymouth middle distance</a>,1.93k/87k/21.1k,Yes,4:57:36,69/277
13-Jul-2008,<a href='http://www.ironmanaustria.at/en.htm'>Ironman Austria</a>,3.8k/180k/42.2k,Yes,10:50:44,850/2400
10-Aug-2008,<a href='http://www.thelondontriathlon.com/'>London Triathlon</a>,1.5k/42k/10k,Yes,2:29:04,149/196
07-Sep-2008,<a href='http://www.runnersworld.co.uk/events/viewevent.asp?en=42179'>Middlesex & Open 10k</a>,10k,Yes,17:09:00,81/242
13-Sep-2008,<a href='http://www.youtube.com/watch?v=G16Ugj80EIw'>Serpentine Biathlon</a>,2.1m/0.5m,Yes,6:16:00,15/40
14-Sep-2008,<a href='http://www.thelondonduathlon.com/'>London Duathlon</a>,10k/20k/5k,Yes,1:40:04,100/1798
21-Sep-2008,<a href='http://www.racenewforest.co.uk/08_new_forest_middle_distance_triathlon_home.htm'>New Forest middle distance</a>,1.9k/90k/21k,Yes,5:27:49,43/326
05-Oct-2008,<a href='http://barcelonatriathlon.com/'>Barcelona Triathlon</a>,1.5k/40k/10k,Yes,DNF,N/A
10-Nov-2008,<a href='http://www.marathon06.com/AN/index.htm'>Marathon French Riviera</a>,42.2k,Yes,3:28:55,1496/8223
15-Mar-2009,<a href='http://www.fleethalfmarathon.com/'>Fleet 1/2 marathon</a>,21.1k,Yes,1:31:21,236/2104
18-Apr-2009,<a href='http://www.big-cow.com/public/race.aspx?id=645'>Big Cow National Duathlon Champs</a>,10k/40k/5k,Yes,2:15:01,151/308
03-May-2009,<a href='http://www.bucs.org.uk/homepage.asp'>BUSA championships</a>,750m/25k/5k,Yes,1:19:34,85/260
23-May-2009,<a href='http://www.tourofwessex.com/'>Tour of Wessex</a>,515,Yes,22:31:32,Bronze
11-Jul-2009,<a href='http://www.tri247.com/event_7440.html'>BlueSeventy GreatBigSwim</a>,3k,Yes,2:27:00,105/189
08-Aug-2009,<a href='http://www.triathlon.org/?call=TVRFdw==&id=MTMzNQ==&keep=sh'>ETU Long Distance Triathlon European Championships</a>,4k/120k/30k,Yes,8:03:52,159/218
